Summary stats:
1.1.1.1 :	 6 	 0 	 0 	 0 	 1 	 3 	 0 	 0 	 36 	 43 	 49
1.1.2.1 :	 12 	 0 	 0 	 0 	 0 	 2 	 0 	 0 	 38 	 50 	 62
1.1.2.2 :	 5 	 0 	 0 	 0 	 1 	 4 	 0 	 0 	 32 	 38 	 43
1.1.3.1 :	 10 	 0 	 1 	 0 	 1 	 2 	 0 	 0 	 46 	 58 	 69
1.1.4.1 :	 8 	 0 	 0 	 0 	 0 	 2 	 0 	 0 	 42 	 50 	 58
1.1.4.2 :	 5 	 0 	 0 	 0 	 1 	 4 	 0 	 0 	 40 	 46 	 51
1.1.5.1 :	 11 	 0 	 0 	 0 	 0 	 3 	 0 	 0 	 39 	 50 	 61
1.1.5.2 :	 11 	 0 	 0 	 0 	 1 	 6 	 0 	 0 	 49 	 61 	 72
1.1.6.1 :	 9 	 0 	 0 	 0 	 1 	 7 	 0 	 0 	 55 	 65 	 74
1.1.7.1 :	 10 	 0 	 0 	 0 	 0 	 5 	 0 	 0 	 40 	 50 	 60
1.1.7.2 :	 6 	 0 	 1 	 0 	 2 	 5 	 0 	 0 	 39 	 48 	 55
1.1.8.1 :	 11 	 0 	 0 	 0 	 1 	 10 	 0 	 0 	 60 	 72 	 83
1.1.9.1 :	 9 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 41 	 50 	 59
1.1.9.2 :	 6 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 44 	 50 	 56
1.1.9.3 :	 9 	 0 	 0 	 0 	 1 	 3 	 0 	 0 	 51 	 61 	 70
1.1.10.1 :	 13 	 0 	 0 	 0 	 2 	 7 	 0 	 0 	 35 	 50 	 63
1.1.10.2 :	 4 	 1 	 0 	 0 	 6 	 6 	 0 	 0 	 41 	 50 	 53
1.1.10.3 :	 9 	 0 	 0 	 0 	 1 	 4 	 0 	 0 	 56 	 66 	 75
1.1.11.1 :	 9 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 41 	 50 	 59
1.1.11.2 :	 11 	 1 	 2 	 0 	 1 	 2 	 0 	 0 	 52 	 65 	 77
1.1.12.1 :	 10 	 0 	 1 	 0 	 2 	 7 	 0 	 0 	 58 	 71 	 82
1.1.13.1 :	 7 	 0 	 1 	 0 	 5 	 4 	 0 	 2 	 37 	 50 	 58
1.1.13.2 :	 9 	 0 	 0 	 0 	 2 	 3 	 0 	 0 	 39 	 50 	 59
1.1.13.3 :	 8 	 0 	 3 	 0 	 1 	 1 	 0 	 0 	 51 	 63 	 74
1.1.14.1 :	 7 	 0 	 4 	 0 	 7 	 0 	 0 	 2 	 32 	 50 	 61
1.1.14.2 :	 6 	 1 	 0 	 0 	 6 	 3 	 0 	 0 	 39 	 50 	 55
1.1.14.3 :	 6 	 1 	 0 	 0 	 6 	 3 	 0 	 0 	 39 	 50 	 55
1.1.14.4 :	 7 	 2 	 0 	 0 	 9 	 5 	 1 	 2 	 59 	 73 	 78
28 :		 234 	 6 	 13 	 0 	 58 	 102 	 1 	 6 	 1231 	 1530 	 1771
Summary stats:
1.3.1.1 :	 5 	 0 	 0 	 0 	 0 	 3 	 0 	 0 	 45 	 50 	 55
1.3.1.2 :	 8 	 0 	 1 	 0 	 1 	 6 	 0 	 0 	 58 	 68 	 77
1.3.2.1 :	 13 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 37 	 50 	 63
1.3.2.2 :	 17 	 0 	 4 	 0 	 1 	 7 	 0 	 0 	 30 	 52 	 73
1.3.3.1 :	 16 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 41 	 58 	 74
1.3.4.1 :	 9 	 0 	 1 	 0 	 2 	 1 	 0 	 0 	 38 	 50 	 60
1.3.4.2 :	 5 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 45 	 50 	 55
1.3.4.3 :	 4 	 0 	 0 	 0 	 1 	 1 	 0 	 0 	 26 	 31 	 35
1.3.5.1 :	 7 	 1 	 0 	 0 	 1 	 4 	 0 	 0 	 53 	 60 	 66
1.3.6.1 :	 5 	 0 	 0 	 0 	 0 	 3 	 0 	 1 	 45 	 50 	 55
1.3.6.2 :	 9 	 1 	 0 	 0 	 7 	 5 	 0 	 0 	 54 	 69 	 77
1.3.7.1 :	 1 	 0 	 2 	 0 	 0 	 5 	 0 	 0 	 47 	 50 	 53
1.3.7.2 :	 8 	 1 	 0 	 0 	 4 	 0 	 0 	 0 	 20 	 31 	 38
1.3.8.1 :	 10 	 0 	 1 	 0 	 0 	 7 	 0 	 1 	 39 	 50 	 61
1.3.8.2 :	 7 	 0 	 0 	 0 	 1 	 3 	 0 	 0 	 36 	 44 	 51
1.3.9.1 :	 4 	 0 	 0 	 0 	 0 	 7 	 0 	 0 	 46 	 50 	 54
